epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,22988.1,1.7865,2.47735,2.00914,0.79068,0.50431,0.59201,0.3069,1.63606,1.76992,1.95952,0.000612687,0.000612687,0.000612687
105,23209.1,1.7676,2.35777,2.02817,0.80067,0.44667,0.51236,0.28767,1.60721,1.81877,1.96166,0.0006065,0.0006065,0.0006065
106,23429.6,1.74958,2.38592,2.00423,0.61383,0.47475,0.52424,0.29646,1.58506,1.78096,1.92658,0.000600313,0.000600313,0.000600313
107,23652.7,1.75747,2.39143,2.01525,0.65486,0.48756,0.55028,0.3016,1.58827,1.79942,1.9451,0.000594125,0.000594125,0.000594125
108,23874.7,1.7028,2.30033,1.96486,0.64368,0.50982,0.56973,0.31245,1.62134,1.81144,1.94097,0.000587938,0.000587938,0.000587938
109,24097.5,1.76455,2.33603,2.01869,0.70273,0.5287,0.56707,0.33062,1.55892,1.7519,1.92509,0.00058175,0.00058175,0.00058175
110,24319.9,1.78743,2.26308,2.01837,0.65394,0.5501,0.56451,0.31804,1.61392,1.73169,1.98129,0.000575563,0.000575563,0.000575563
111,24541.8,1.72631,2.35562,1.97567,0.66387,0.50885,0.55854,0.32252,1.58221,1.83524,1.94211,0.000569375,0.000569375,0.000569375
112,24762.5,1.72393,2.23369,1.96044,0.64017,0.53903,0.56026,0.31316,1.54851,1.81373,1.89175,0.000563187,0.000563187,0.000563187
113,24982.6,1.7649,2.31539,1.98908,0.71134,0.47444,0.54619,0.3095,1.63956,1.83307,1.98833,0.000557,0.000557,0.000557
114,25202.9,1.70353,2.20072,1.955,0.63493,0.54639,0.56351,0.32695,1.55322,1.74104,1.91785,0.000550813,0.000550813,0.000550813
115,25424.2,1.73515,2.28266,1.97155,0.85287,0.45839,0.55319,0.31942,1.53175,1.72933,1.92076,0.000544625,0.000544625,0.000544625
116,25645.4,1.73799,2.22596,1.97754,0.58546,0.53958,0.57327,0.33587,1.52204,1.74304,1.88973,0.000538438,0.000538438,0.000538438
117,25866.5,1.73402,2.35216,1.96429,0.87155,0.45603,0.57366,0.34015,1.49667,1.7324,1.87665,0.00053225,0.00053225,0.00053225
